gameid,type,checkedTeamId,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,TOV,STL,BLK,PF,statsId
29600001,1,1610612738,38,84,8,20,14,23,14,22,36,18,10,2,33,1
29600001,1,1610612741,42,74,1,13,22,32,8,29,37,19,7,8,23,2
29600002,1,1610612739,34,72,5,10,17,20,12,23,35,15,11,1,24,3
29600002,1,1610612751,23,58,9,18,22,33,11,24,35,21,7,7,19,4
29600003,1,1610612749,38,84,4,9,31,44,19,31,50,14,9,7,30,5
29600003,1,1610612755,37,83,2,10,27,36,14,26,40,13,6,4,29,6
29600004,1,1610612753,35,91,5,23,17,20,22,26,48,16,7,3,22,7
29600004,1,1610612764,35,74,4,13,22,30,11,26,37,16,10,10,24,8
29600005,1,1610612737,25,65,4,16,27,32,10,30,40,23,10,7,20,9
29600005,1,1610612748,35,78,10,21,14,19,13,27,40,18,8,4,25,10
29600006,1,1610612752,33,68,4,11,37,51,11,33,44,24,15,5,29,11
29600006,1,1610612761,34,78,12,25,19,32,11,26,37,24,11,3,38,12
29600007,1,1610612765,32,68,6,20,25,35,11,28,39,17,10,3,22,13
29600007,1,1610612754,33,74,6,21,17,23,10,26,36,18,6,4,30,14
29600008,1,1610612750,31,74,3,8,17,23,9,27,36,17,6,12,13,15
29600008,1,1610612759,31,72,4,13,12,18,9,31,40,17,10,4,23,16
29600009,1,1610612745,34,87,8,25,20,31,17,28,45,21,20,1,19,17
29600009,1,1610612758,32,72,4,12,17,23,8,32,40,27,11,8,24,18
29600010,1,1610612742,35,88,4,18,18,26,20,33,53,20,13,7,30,19
29600010,1,1610612743,28,78,3,8,32,43,18,29,47,20,9,10,21,20
29600011,1,1610612760,30,75,5,18,26,34,12,34,46,12,6,6,26,21
29600011,1,1610612762,34,78,8,18,23,33,11,32,43,9,7,6,27,22
29600012,1,1610612747,31,63,6,18,28,40,11,40,51,23,6,8,26,23
29600012,1,1610612756,32,91,3,13,15,21,15,21,36,12,11,4,25,24
29600013,1,1610612744,27,75,7,18,24,29,12,27,39,20,8,3,17,25
29600013,1,1610612746,41,86,4,8,11,15,16,33,49,20,7,2,27,26
